CupperPoints,ID,Country,HarvestYear,Variety,Process,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Cleanliness,Sweetness,Moisture,C1Defect,C2Defect,Quakers,Color,MeanAlt,Address,Contact,Elevation,FullElevation,Precipitation,Temperature,Continent,NSHem,EWHem
8.33,518,Costa Rica,2013,Unknown,Unknown,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,0.11,0,1,0,Blue-Green,1350,5,5,746,1350,2926,24.8,North America,N,W
8.33,1089,United States (Hawaii),2013,Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,0,1,4,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8.33,1093,Costa Rica,2012,Caturra,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,0.11,0,2,0,Green,1300,2,2,746,1300,2926,24.8,North America,N,W
8.33,1094,Indonesia,2010,Unknown,Unknown,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,0.03,0,0,0,Unknown,1500,2,2,367,1500,2702,25.85,Asia,B,E
8.25,188,Ethiopia,2010,Unknown,Unknown,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,0.05,0,2,0,Unknown,Unknown,14,14,1330,1330,848,22.2,Africa,N,E
8.25,349,Colombia,2014,Caturra,Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,0.11,1,1,0,Green,1775,9,9,593,1775,3240,24.5,South America,B,W
8.25,553,Brazil,2013,Yellow Bourbon,Natural / Dry,7.58,7,6.92,6.92,7.67,7.5,10,10,10,0,0,0,0,Green,1,4,4,320,1,1782,24.95,South America,B,W
8.25,1076,United States (Hawaii),2013,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,0,4,6,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8.25,1090,United States (Hawaii),2014,Unknown,Unknown,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,0,2,1,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8.25,1155,Honduras,2016,Caturra,Unknown,8.17,8.08,8.08,8,8.08,8,10,10,10,0.1,0,3,0,Green,1400,1,1,684,1400,1976,23.5,North America,N,W
8.17,91,"Tanzania, United Republic Of",2012,Unknown,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,0.11,0,1,0,Bluish-Green,Unknown,19,19,1018,1018,1071,22.35,Africa,S,E
8.17,116,Uganda,2013,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,0.12,0,1,0,Green,1950,18,18,1400,1950,1180,22.8,Africa,N,E
8.17,187,Ethiopia,2010,Unknown,Unknown,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,0.1,0,2,0,Unknown,Unknown,14,14,1330,1330,848,22.2,Africa,N,E
8.17,211,Kenya,2011,SL28,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,0.11,0,4,0,Green,1800,12,12,762,1800,630,24.75,Africa,B,E
8.17,362,Colombia,2016,Caturra,Unknown,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,0.01,0,0,0,Unknown,1775,9,9,593,1775,3240,24.5,South America,B,W
8.17,443,Colombia,2016,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,0,0,0,0,Green,1800,9,9,593,1800,3240,24.5,South America,B,W
8.17,464,United States,2013,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,0,0,0,0,Unknown,2112,9,9,760,2112,715,8.55,North America,N,W
8.17,465,United States,2015,Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,0,0,0,0,Unknown,2019,9,9,760,2019,715,8.55,North America,N,W
8.17,466,United States,2014,Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,0,0,0,0,Unknown,2080,9,9,760,2080,715,8.55,North America,N,W
8.17,800,Mexico,2015,Typica,Semi-washed / Semi-pulped,7.75,8,7.75,7.83,7.5,7.92,10,10,10,0.11,0,0,0,Unknown,1200,3,3,1111,1200,758,21,North America,N,W
8.17,943,Brazil,2013,Yellow Bourbon,Natural / Dry,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,0,0,0,0,Green,1260,2,2,320,1260,1782,24.95,South America,B,W
8.17,1020,United States (Hawaii),2011,Unknown,Unknown,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,0,0,0,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8.17,1069,United States (Hawaii),2016,Unknown,Unknown,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,0.01,1,7,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8.17,1082,United States (Hawaii),2009,Unknown,Unknown,8.33,8.17,7.75,8,7.75,7.83,10,10,10,0,0,0,0,Unknown,426.72,2,2,924,426.72,433,27.5,North America,N,W
8.17,1083,Colombia,2013,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,0.12,1,1,0,Green,1200,2,2,593,1200,3240,24.5,South America,B,W
8.17,1084,Kenya,2013,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,0.11,0,1,0,Green,1860,2,2,762,1860,630,24.75,Africa,B,E
8.17,1088,Brazil,2014,Yellow Bourbon,Unknown,8.42,7.92,8,7.75,7.92,8,10,10,10,0.01,0,3,0,Unknown,12,2,2,320,12,1782,24.95,South America,B,W
8.17,1091,Taiwan,2015,Sumatra,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,0,0,0,0,Green,1200,2,2,1150,1200,2500,16,Asia,N,E
8.17,1154,Honduras,2015,Catuai,Washed / Wet,7.83,7.75,8,7.67,7.67,7.67,10,10,10,0.11,0,4,0,Green,1450,1,1,684,1450,1976,23.5,North America,N,W
8.17,1302,Guatemala,2013,Bourbon,Washed / Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,10,0.09,0,0,0,Green,1219.2,0,0,759,1219.2,1996,23.45,North America,N,W
8.13,62,Brazil,2011,Unknown,Unknown,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,0,0,4,0,Unknown,Unknown,21,21,320,320,1782,24.95,South America,B,W
8.08,5,Ethiopia,2011,Unknown,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,0.1,0,18,0,Green,1900,28,26,1330,1900,848,22.2,Africa,N,E
8.08,9,Ethiopia,2010,Unknown,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,0.1,0,3,0,Green,1775,28,26,1330,1775,848,22.2,Africa,N,E
8.08,88,Japan,2012,Mundo Novo,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,0.12,0,0,0,Green,170,19,19,438,170,1668,11.15,Asia,N,E
8.08,92,Ethiopia,2014,Unknown,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,0.11,0,1,0,Bluish-Green,Unknown,19,19,1330,1330,848,22.2,Africa,N,E
8.08,113,Uganda,2014,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,0.12,0,1,0,Green,1600,18,18,1400,1600,1180,22.8,Africa,N,E
8.08,115,Uganda,2012,Unknown,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,0,0,0,0,Unknown,Unknown,18,18,1400,1400,1180,22.8,Africa,N,E
8.08,174,Mexico,2015,Typica,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,10,10,0.09,0,3,0,Green,1300,15,15,1111,1300,758,21,North America,N,W
8.08,184,Ethiopia,2010,Unknown,Unknown,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,0.05,0,2,0,Unknown,Unknown,14,14,1330,1330,848,22.2,Africa,N,E
8.08,221,Kenya,2012,SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,0.12,0,1,0,Blue-Green,1800,12,12,762,1800,630,24.75,Africa,B,E
8.08,322,Colombia,2012,Caturra,Washed / Wet,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,0.11,0,1,0,Green,1600,9,9,593,1600,3240,24.5,South America,B,W
8.08,405,Colombia,2010,Unknown,Unknown,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,0.1,0,1,0,Unknown,1600,9,9,593,1600,3240,24.5,South America,B,W
8.08,447,Colombia,2011,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,0,0,4,0,Blue-Green,1500,9,9,593,1500,3240,24.5,South America,B,W
8.08,452,Colombia,2016,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,0.11,0,6,0,Green,1800,9,9,593,1800,3240,24.5,South America,B,W
8.08,459,Colombia,2015,Caturra,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,10,0.11,0,8,0,Green,2136,9,9,593,2136,3240,24.5,South America,B,W
8.08,463,United States,2010,Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,0,0,0,0,Unknown,1941,9,9,760,1941,715,8.55,North America,N,W
8.08,499,Costa Rica,2014,Caturra,Washed / Wet,7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,0.11,0,3,0,Green,1850,5,5,746,1850,2926,24.8,North America,N,W
8.08,761,Mexico,2017,Typica,Natural / Dry,8.08,8.17,8,8,7.83,7.92,6.67,10,10,0.12,1,4,0,Unknown,1200,3,3,1111,1200,758,21,North America,N,W
8.08,976,United States (Hawaii),2011,Unknown,Unknown,7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,0,0,0,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8.08,986,United States (Hawaii),2014,Hawaiian Kona,Natural / Dry,7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,0,1,4,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8.08,1027,Brazil,2013,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,0,0,1,0,Green,1200,2,2,320,1200,1782,24.95,South America,B,W
8.08,1060,United States (Hawaii),2016,Hawaiian Kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8,10,10,10,0,3,15,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8.08,1067,Ethiopia,2014,Unknown,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,10,0.1,2,7,0,Green,1700,2,2,1330,1700,848,22.2,Africa,N,E
8.08,1087,Brazil,2012,Yellow Bourbon,Unknown,8.17,7.92,7.92,7.75,8.33,8,10,10,10,0.08,0,2,0,Unknown,12,2,2,320,12,1782,24.95,South America,B,W
8,6,Ethiopia,2014,Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,0.12,0,7,0,Green,1900,28,26,1330,1900,848,22.2,Africa,N,E
8,7,Ethiopia,2012,Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,0.09,0,7,4,Unknown,Unknown,28,26,1330,1330,848,22.2,Africa,N,E
8,8,Ethiopia,2012,Unknown,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,0.1,0,4,0,Green,1900,28,26,1330,1900,848,22.2,Africa,N,E
8,68,Brazil,2016,Mundo Novo,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,0.12,0,3,0,Green,1100,21,21,320,1100,1782,24.95,South America,B,W
8,69,Brazil,2015,Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,0.11,0,1,0,Blue-Green,1250,21,21,320,1250,1782,24.95,South America,B,W
8,70,Brazil,2015,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,0.11,0,2,0,Blue-Green,1250,21,21,320,1250,1782,24.95,South America,B,W
8,71,Brazil,2011,Bourbon,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,0.12,0,2,0,Green,1300,21,21,320,1300,1782,24.95,South America,B,W
8,86,Thailand,2012,Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,0.12,0,0,0,Green,1200,19,19,287,1200,1622,26.3,Asia,N,E
8,90,Thailand,2014,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8,7.75,10,10,10,0.12,0,0,0,Green,Unknown,19,19,287,287,1622,26.3,Asia,N,E
8,111,Uganda,2012,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,0.11,0,1,0,Green,1800,18,18,1400,1800,1180,22.8,Africa,N,E
8,112,Uganda,2012,SL14,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,0.12,0,5,0,Green,1950,18,18,1400,1950,1180,22.8,Africa,N,E
8,114,Uganda,2013,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,0.12,0,0,0,Green,1650,18,18,1400,1650,1180,22.8,Africa,N,E
8,181,Ethiopia,2010,Unknown,Unknown,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,0.1,0,2,0,Unknown,1750,14,14,1330,1750,848,22.2,Africa,N,E
8,185,Ethiopia,2010,Typica,Unknown,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,0.1,0,3,0,Unknown,Unknown,14,14,1330,1330,848,22.2,Africa,N,E
8,220,Kenya,2014,SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,0.11,0,2,0,Bluish-Green,1754,12,12,762,1754,630,24.75,Africa,B,E
8,232,El Salvador,2012,Bourbon,Washed / Wet,7.83,7.83,7.5,8,7.83,7.67,10,10,10,0,0,2,0,Blue-Green,1350,11,11,442,1350,1784,24.45,North America,N,W
8,289,Kenya,2013,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,0.1,0,3,0,Green,1900,10,10,762,1900,630,24.75,Africa,B,E
8,310,Colombia,2011,Caturra,Unknown,7.33,7,7.08,7.42,7.5,7.67,10,10,10,0.07,0,2,0,Unknown,1775,9,9,593,1775,3240,24.5,South America,B,W
8,492,Costa Rica,2014,Caturra,Washed / Wet,7.83,7.5,7.67,7.67,7.83,7.5,6.67,10,10,0.11,0,4,0,Blue-Green,185,5,5,746,185,2926,24.8,North America,N,W
8,514,Costa Rica,2014,Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,0.11,0,3,0,Green,1200,5,5,746,1200,2926,24.8,North America,N,W
8,521,Costa Rica,2012,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,0.09,0,2,0,Bluish-Green,1700,5,5,746,1700,2926,24.8,North America,N,W
8,524,Costa Rica,2012,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,0.1,0,2,0,Bluish-Green,1200,5,5,746,1200,2926,24.8,North America,N,W
8,528,Costa Rica,2014,Catuai,Washed / Wet,8,7.58,7.83,7.75,7.75,7.75,10,10,10,0.11,0,4,0,Green,1200,5,5,746,1200,2926,24.8,North America,N,W
8,529,Panama,2012,Gesha,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,0.08,0,0,1,Bluish-Green,1600,5,5,360,1600,2928,25.4,South America,N,W
8,566,Brazil,2012,Unknown,Unknown,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,0.11,0,0,1,Green,Unknown,4,4,320,320,1782,24.95,South America,B,W
8,570,Brazil,2012,Unknown,Unknown,7.42,7.42,7.5,7.33,7.25,7.67,10,10,10,0,1,2,9,Green,Unknown,4,4,320,320,1782,24.95,South America,B,W
8,588,Brazil,2012,Unknown,Unknown,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,0.12,0,4,0,Green,Unknown,4,4,320,320,1782,24.95,South America,B,W
8,594,Brazil,2013,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8,7.75,7.83,10,10,10,0,0,0,0,Green,1,4,4,320,1,1782,24.95,South America,B,W
8,850,Costa Rica,2013,Catuai,Washed / Wet,7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,0.1,0,4,0,Bluish-Green,1100,2,2,746,1100,2926,24.8,North America,N,W
8,907,Vietnam,2012,Caturra,Washed / Wet,7,7.08,7.33,7.5,7.5,7.33,10,10,10,0.12,0,0,0,Bluish-Green,1040,2,2,398,1040,1821,24.45,Asia,N,E
8,914,United States (Hawaii),2016,Hawaiian Kona,Natural / Dry,7.83,7.83,7.83,8,7.83,7.83,10,6.67,10,0,1,1,0,Bluish-Green,Unknown,2,2,924,924,433,27.5,North America,N,W
8,938,Brazil,2013,Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,0.11,0,0,0,Blue-Green,1100,2,2,320,1100,1782,24.95,South America,B,W
8,966,Rwanda,2012,Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,0.11,0,0,0,Bluish-Green,1900,2,2,1598,1900,1212,17.85,Africa,S,E
8,978,Vietnam,2012,Caturra,Other,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,0,0,0,0,Green,1550,2,2,398,1550,1821,24.45,Asia,N,E
8,1009,Mexico,2010,Unknown,Unknown,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,0.09,2,4,0,Unknown,1050,2,2,1111,1050,758,21,North America,N,W
8,1019,Guatemala,2016,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,0.11,0,1,0,Green,1450,2,2,759,1450,1996,23.45,North America,N,W
8,1037,Thailand,2015,Unknown,Unknown,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,0.06,0,0,0,Unknown,Unknown,2,2,287,287,1622,26.3,Asia,N,E
8,1041,United States (Hawaii),2016,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,0.11,1,9,0,Green,Unknown,2,2,924,924,433,27.5,North America,N,W
8,1050,Indonesia,2012,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,0,0,3,0,Blue-Green,1400,2,2,367,1400,2702,25.85,Asia,B,E
8,1059,Taiwan,2012,Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,0,0,0,0,Green,350,2,2,1150,350,2500,16,Asia,N,E
8,1066,Guatemala,2010,Unknown,Unknown,7.83,8.08,7.67,8,7.75,7.67,10,10,10,0.04,0,1,0,Unknown,1325.88,2,2,759,1325.88,1996,23.45,North America,N,W
8,1071,Indonesia,2012,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,0.11,0,3,0,Green,1325,2,2,367,1325,2702,25.85,Asia,B,E
8,1073,Costa Rica,2014,Caturra,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,0,0,0,0,Bluish-Green,1300,2,2,746,1300,2926,24.8,North America,N,W
8,1077,El Salvador,2012,Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,0.1,0,3,0,Blue-Green,1500,2,2,442,1500,1784,24.45,North America,N,W
8,1079,United States (Hawaii),2013,Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,0,0,1,0,Unknown,Unknown,2,2,924,924,433,27.5,North America,N,W
8,1080,Peru,2013,Unknown,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,0.1,4,6,0,Green,Unknown,2,2,1555,1555,1738,19.6,South America,S,W
8,1092,Nicaragua,2010,Unknown,Unknown,7.92,8.25,8,8.33,8,8.08,10,10,10,0.08,0,2,0,Unknown,Unknown,2,2,298,298,2280,24.9,North America,N,W
8,1305,Guatemala,2016,Bourbon,Washed / Wet,7.67,7.83,7.67,8,7.67,7.83,10,10,10,0.12,0,4,0,Green,1524,0,0,759,1524,1996,23.45,North America,N,W
8,1308,Guatemala,2014,Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,0.12,0,3,0,Green,1524,0,0,759,1524,1996,23.45,North America,N,W
8,1309,Guatemala,2017,Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,0.1,0,1,0,Bluish-Green,1417.32,0,0,759,1417.32,1996,23.45,North America,N,W
8,1310,Guatemala,2013,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,0.1,0,3,1,Green,Unknown,0,0,759,759,1996,23.45,North America,N,W
7.92,28,China,2012,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,0.1,0,1,0,Green,1680,25,23,1840,1680,645,6.95,Asia,N,E
7.92,29,China,2012,Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,0.1,0,0,0,Green,1700,25,23,1840,1700,645,6.95,Asia,N,E
7.92,61,Brazil,2018,Unknown,Unknown,8,8,7.5,7.5,7.67,7.75,10,10,10,0.02,0,2,0,Unknown,1050,21,21,320,1050,1782,24.95,South America,B,W
